objectid,route_name_ruta_troncal,nombre_ruta_troncal,servicio_unico_ruta_troncal,origen_ruta_troncal,destino_ruta_troncal,tipo_ruta_troncal,tipo_operacion,tipo_bus_ruta_troncal,estado_ruta_troncal,longitud_ruta_troncal,globalid
38,D24,D24,DJ24,UNIVERSIDADES,PORTAL 80,TRONCAL,Normal,BIARTICULADO,OPERATIVA,15.15557027,{C8407584-E686-4D19-A164-C2D2B41786D7}
39,F23B,F23B,FJ23,AGUAS,BANDERAS,TRONCAL,Refuerzo,BIARTICULADO,OPERATIVA,9.9342643,{4C9A8FF2-9FA4-4DB2-921B-683BE238BCF7}
40,8-2,8 T,8,TERMINAL,GUATOQUE - VERAGUAS,TRONCAL,Normal,ARTICULADO,OPERATIVA,22.09768379,{2BAEDDFC-7E0B-44C3-ACFE-8905853A86B5}
41,J73,J73,CJ73,PORTAL SUBA,UNIVERSIDADES,TRONCAL,Normal,BIARTICULADO,OPERATIVA,23.68217188,{4B3271CD-55FD-4A6E-A68F-55D028858B52}
42,G41,G41,GL41,BICENTENARIO,SAN MATEO,TRONCAL,Normal,BIARTICULADO,OPERATIVA,15.6052618,{74C127D8-CD6C-4BB9-99F4-8FC6FEA1437B}
43,G30,G30,CG30,PORTAL SUBA,PORTAL SUR,TRONCAL,Normal,BIARTICULADO,OPERATIVA,26.56000011,{8EEA23B1-23CA-4035-9D84-FF4666A96F4E}
44,C84CV,C84CV,C84-M84,MUSEONACIONAL,ETB TIBABUYES,DUAL,Ciclovia,DUAL,OPERATIVA,21.27703399,{9A17A2CB-64FB-4480-8326-F86523F7A2E6}
45,D51,D51,D51,PORTAL USME,ESCUELA MILITAR,TRONCAL,Normal,BIARTICULADO,OPERATIVA,20.2261295,{51539EE1-7FC7-4BC2-A526-D9EC479F7FCD}
46,H72,H72,BH72,TOBERIN,PORTAL USME,TRONCAL,Normal,ARTICULADO,OPERATIVA,29.39629075,{A88173FD-A514-417B-8EBA-099D8489EA1C}
47,L18,L18,BL18,TERMINAL,PORTAL 20 DE JULIO,TRONCAL,Normal,BIARTICULADO,OPERATIVA,25.62417709,{97049620-4D0D-40AA-AB40-2899272859C2}
49,L82R,L82R,M82-L82,CLINICA EL BOSQUE,PORTAL 20 DE JULIO,DUAL,Refuerzo,DUAL,OPERATIVA,12.79502287,{4A96E85C-E7D6-45AC-B2AE-467BFF71A866}
50,G52,G52,AG52,FLORES,PORTAL SUR,TRONCAL,Normal,ARTICULADO,OPERATIVA,20.15699404,{D5ED74FC-93B3-4DE1-A1A3-B0E3D573CADE}
51,2-2,2 P,2,PORTAL 20 DE JULIO,MUSEO NACIONAL,TRONCAL,Normal,BIARTICULADO,OPERATIVA,7.07826325,{2083CEBA-BCAE-41C9-859E-1CEAFDD95E25}
52,J24,J24,DJ24,PORTAL 80,UNIVERSIDADES,TRONCAL,Normal,BIARTICULADO,OPERATIVA,15.53341939,{CAF236AC-044D-4239-AAFD-697A5A513AF6}
54,B55,B55,B55,PORTAL 80,HEROES,TRONCAL,Normal,ARTICULADO,OPERATIVA,7.82910481,{9D532F03-E753-4EC6-B8E9-1DFE6589E0FB}
55,G47,G47,GM47,MUSEO NACIONAL,PORTAL SUR,TRONCAL,Normal,BIARTICULADO,OPERATIVA,13.42821073,{3822CA11-22F9-4E1D-8E3C-41829F1A872E}
